,text,A005,A008,A012,A009,A003,A002,A007,A004,A010,A001
0,"Wen man nicht reinläßt, den muss man auch nicht integrieren.",0,0,0,0,0,0,0,0,0,0
1,"Und eine Katze die schnurrt genügt Ihnen? 
Und vögeln im eigenen aufgebetteten Quartier ist nicht feiner als den Vögeln zuzuschauen? 

Mit 50 traue ich mich Ihre Worte aufzugreifen und sehe das als Frau auch mutig. 


Ich hoffe, es ist Ihnen meine Direktheit nicht unangenehm.",0,1,1,0,1,0,1,0,0,0
2,"Des Oaschloch is eh scho berühmt, de virz‘g Jungfrauen oide, notgeile Nonnen.",3,4,3,4,3,3,2,3,4,0
3,"Trump hat 2 Dinge übersehen:
every vote counts

und

every cunt votes


... selbst schuld, Donald!",3,1,3,2,3,3,3,3,0,0
4,"Mit der Fo×÷e hat er sich keinen Gefallen getan. 

Ja, ich weiß der Ausdruck ist eigentlich nicht Forums tauglich.",3,2,2,3,4,4,4,4,4,4
5,"wegen der paar frauen die es aus der küche
heraus schaffen eine eigene karriere zu starten ist es eigentlich ein overkill eine eigene genderform zu schaffen

der überwiegende teil der frauen freut sich wenn man (n) ! sie regelmäßig ob der hervorzüglich gekochten speisen lobt",4,4,2,4,4,4,4,3,1,4
6,sie müssen echt hübsch sein ...,0,0,2,0,0,0,0,0,0,0
7,"gut dass der spiegel das offensichtliche anspricht und sich nicht von autoritären ideologen den mund verbieten lässt.
warum sollte es nicht eine relevante frage sein, wie sich frau nach brust op und mit glatze fühlt? 

wär ja auch eine legitime frage wie sich mann, nach hodenkrebs und potentiell entfernten hoden als mann fühlt. 

in jedem frauenmagazin lässt sich genau das finden. dort ist es offensichtlich in ordnung.


und quotenfrau: wenn jemand wegen einer quote irgendwo hinkommt, lässt sich der verdacht nicht ausräumen. man kann nur verhindern dass darüber gesprochen wird, aber die schlussfolgerung bleibt.

das ist ja auch der unterschied zwischen konservativen frauen an der spitze, wie merkel, denen man einfach zutraut mit allem klar zu kommen. 
und linken frauen an der spitze, bei denen man immer denkt ""die ist nur wegen der quote da. kann aber nix",2,3,1,1,2,0,2,2,2,1
8,"vor allem muss man das System kennen. Nicht nur a Weiberl sein mit an Titel.
Die fahren mit ihr Schlitten ...",1,1,2,2,3,0,2,2,3,1
9,"Stimmt, den Männern wurde als Dank dafür dass sie in den Krieg ziehen das Wahlrecht gegeben, den Frauen wurde es gegeben weil sie sich aufgeführt haben wie Kleinkinder ""Mag auch haben!!!!"".",3,3,3,3,4,4,3,4,3,3
10,der bursche hat recht,0,0,0,0,0,0,2,0,0,0
11,Einfach tief von unten hineinfahren und Batterien rausnehmen.,0,0,0,0,0,0,0,0,0,0
12,"Trump hat nicht unrecht. Wir werden ständig manipuliert. Durch Werbung, durch Politiker, durch Frauenbrüste, durch nahe Angehörige usw. Alle Wahlen verbieten. Sofort.",1,1,2,1,1,1,1,0,0,0
13,"Das sind Schätzungen, denn Männer sind ja zu feig, sowas anzuzeigen, nicht wahr?",0,2,2,1,1,0,2,2,0,2
14,"Die Ex
disst die Neue.

Das ist normal.",2,2,3,2,2,2,2,2,2,1
15,"Die Hebein war im Gegensatz zur Vassilakou eine Macherin
die hat viel umgesetzt. Nur scheinbar muss man in der Politik mehr aufs Netzwerken achten, anstatt sich mit den Themen zu beschäftigen und diese umsetzen. Traurige Wahrheit über die Politik, die nicht für die Menschen da ist, sondern nur für sich selbst. Ellensohn ist ein Arschloch, ein Egomane, Macho, ein Frauenfeind, der halt nur intern gut genetzwerkt hat.",0,0,0,0,1,0,1,1,0,0
16,"Frauenfußball sieht so aus,
als würden ein paar Enten über den Platz watscheln und mit ihren Hinterteilen herum wackeln. 
Aber irgendwie niedlich ist das schon . . .",3,3,3,3,4,4,3,3,3,3
17,"manche männer ..
... leben für .......  alleine!",0,1,1,0,1,0,1,0,0,0
18,"{USER}, Tschuldigung, Sie sind ja selber eine Frau! Habe ich übersehen! 
Was ist eine Frau heutzutage ohne Vibrator? Auch Handies vibrieren ja sehr gut, daher telefonieren Frauen ja auch so gerne. . .",3,4,3,3,4,4,3,4,3,4
19,Was soll das depperte Sternderl? *?,1,0,1,1,2,2,0,2,0,0
